backbone,base,base_adv,svr,svr_embed,fc_ft,meta,meta_adv,best,best_err
mobile_vit,4.983,4.725,4.426,4.436,3.499,3.795,3.841,fc_ft,3.499
face_only_mobile_vit,5.044,5.360,4.201,3.594,3.811,4.140,4.470,svr_embed,3.594
foveal_vit,4.525,4.569,4.313,3.852,3.799,4.240,4.394,fc_ft,3.799
eyes_only_mobilenet_v3,4.838,4.989,4.806,4.326,4.308,3.944,4.282,meta,3.944
eyes_only_vit,4.625,4.530,4.836,4.623,3.976,4.382,4.456,fc_ft,3.976
mobilevitv2,5.034,4.842,6.099,5.252,4.525,4.020,4.059,meta,4.020
eva02,4.911,5.731,5.115,4.733,4.056,5.007,5.595,fc_ft,4.056
convnextv2,4.327,4.553,5.084,4.835,4.117,4.270,4.156,fc_ft,4.117
eyes_only_mobilevitv2,5.715,5.628,6.191,6.096,5.037,4.187,4.662,meta,4.187
repvit,4.920,5.126,4.649,4.634,4.763,4.203,4.308,meta,4.203
eyes_only_eva02_tiny,4.917,4.862,5.659,5.236,4.252,5.022,5.033,fc_ft,4.252
eyes_only_convnextv2,4.587,4.619,6.173,5.401,4.518,4.568,4.316,meta_adv,4.316
eyes_only_mobilenet_v4,4.486,4.332,7.598,7.593,4.767,4.394,4.452,meta,4.394
eyes_only_fastvit,4.716,4.815,6.515,6.831,4.843,4.485,4.427,meta_adv,4.427
convnext,4.824,4.338,5.588,5.134,4.702,4.787,4.584,meta_adv,4.584
eyes_only_mgazenet,5.611,5.058,6.572,5.549,4.965,4.835,4.752,meta_adv,4.752
dinov2,5.228,5.996,5.482,5.777,4.936,5.399,5.952,fc_ft,4.936
normface_convnext,5.857,4.908,6.475,6.358,5.764,5.943,5.013,meta_adv,5.013
itracker,5.949,6.530,7.100,7.350,5.556,5.252,6.352,meta,5.252
