run_subdir	backbone	output_activation	gaze_range	lr	epochs	use_grid	nfolds
meta_pipeline_affnet_lr1e4	affnet	none	4.0	0.0001	20	1	5
meta_pipeline	cnn_transformer	none	4.0	0.0008	20	1	5
meta_pipeline	cnn_transformer_raw	none	4.0	0.0008	20	1	5
meta_pipeline_convnext_lr1e4	convnext	none	4.0	0.0001	20	1	5
meta_pipeline_convnextv2_lr1e4	convnextv2	none	4.0	0.0001	20	1	5
meta_pipeline_convnextv2_atto_full_lr1e4	convnextv2_atto	none	4.0	0.0001	20	1	5
meta_pipeline_convnextv2_dualenc_lr1e4	convnextv2_dualenc	none	4.0	0.0001	20	1	3
meta_pipeline_convnextv2_film_lr1e4	convnextv2_film	none	4.0	0.0001	20	1	5
meta_pipeline_convnextv2_nano_lr1e4	convnextv2_nano	none	4.0	0.0001	20	1	5
meta_pipeline_dinov2_lr1e4	dinov2	none	4.0	0.0001	20	1	5
meta_pipeline_eva02_lr1e4	eva02	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_convnextv2_lr1e4	eyes_only_convnextv2	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_convnextv2_atto_lr1e4	eyes_only_convnextv2_atto	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_convnextv2_atto_binocular_lr1e4	eyes_only_convnextv2_atto_binocular	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_convnextv2_binocular_lr1e4	eyes_only_convnextv2_binocular	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_eva02_tiny_lr1e4	eyes_only_eva02_tiny	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_fastvit_lr1e4	eyes_only_fastvit	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_mgazenet_lr1e4	eyes_only_mgazenet	none	4.0	0.0001	20	1	5
meta_pipeline	eyes_only_mobile_vit	none	4.0	0.0008	20	1	5
meta_pipeline_eyes_only_mobilenet_v3_lr1e4	eyes_only_mobilenet_v3	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_mobilenet_v4_lr1e4	eyes_only_mobilenet_v4	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_mobilevitv2_lr1e4	eyes_only_mobilevitv2	none	4.0	0.0001	20	1	5
meta_pipeline_eyes_only_vit_lr1e4	eyes_only_vit	none	4.0	0.0001	20	1	5
meta_pipeline_face_only_mobile_vit_lr1e4	face_only_mobile_vit	none	4.0	0.0001	20	1	5
meta_pipeline_foveal_vit_lr1e4	foveal_vit	none	4.0	0.0001	20	1	5
meta_pipeline_itracker_lr1e4	itracker	none	4.0	0.0001	20	1	5
meta_pipeline_mgazenet_lr1e4	mgazenet	none	4.0	0.0001	20	1	5
meta_pipeline_mobile_vit_lr1e4	mobile_vit	none	4.0	0.0001	20	1	5
meta_pipeline_mobilenet_v3_lr1e4	mobilenet_v3	none	4.0	0.0001	20	1	5
meta_pipeline_mobilenetv4	mobilenet_v4	none	4.0	0.0008	20	1	5
meta_pipeline_mobilevitv2_lr1e4	mobilevitv2	none	4.0	0.0001	20	1	5
meta_pipeline_normface_convnext_lr1e4	normface_convnext	none	4.0	0.0001	20	1	5
meta_pipeline_repvit_lr1e4	repvit	none	4.0	0.0001	20	1	5
meta_pipeline_lr1e4	vit	none	4.0	0.0001	20	1	5
